BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
7.0,0.0,5.0,6.0,12.0,4.0,0.17,6.0,1.0,0.25,13.0,1.0,0.0,19.0,0.0,36.57,16.0,9362.4,0.2,116.0,0.06,520.13,585.15,0.25,3.0,6.0,11.0,0.11,56.0,60.0,21.0,12.0,38.0,36.67,24.0,1
5.0,3.0,1.0,0.0,8.0,3.0,0.33,4.0,3.0,1.0,12.0,1.0,0.0,8.0,0.0,22.64,5.73,742.59,0.04,30.0,0.17,41.25,129.66,0.33,2.0,4.0,11.0,0.3,14.0,16.0,11.0,9.0,10.0,11.11,9.0,0
11.0,7.0,5.0,10.0,20.0,6.0,0.14,10.0,6.0,1.0,31.0,1.0,0.0,37.0,0.0,169.61,8.26,11574.36,0.47,221.0,0.12,643.02,1401.11,0.17,5.0,10.0,27.0,0.1,95.0,126.0,69.0,12.0,58.0,28.85,42.0,0
13.0,1.0,0.0,6.0,18.0,7.0,0.22,6.0,3.0,0.43,23.0,6.0,0.83,32.0,0.0,34.46,29.66,30303.94,0.34,182.0,0.03,1683.55,1021.88,0.86,6.0,9.0,18.0,0.14,86.0,96.0,29.0,20.0,50.0,15.79,32.0,0
13.0,6.0,0.0,7.0,20.0,7.0,0.25,10.0,7.0,1.0,26.0,5.0,0.67,28.0,2.0,43.76,15.87,11016.6,0.23,125.0,0.06,612.03,694.32,0.71,5.0,10.0,21.0,0.16,56.0,69.0,30.0,17.0,44.0,20.0,28.0,0
19.0,9.0,0.0,19.0,32.0,10.0,0.2,14.0,7.0,0.7,42.0,5.0,0.44,50.0,0.0,69.97,32.88,75642.93,0.77,351.0,0.03,4202.39,2300.66,0.5,9.0,16.0,34.0,0.11,155.0,196.0,66.0,28.0,92.0,27.54,50.0,0
3.0,2.0,0.0,7.0,4.0,2.0,0.18,2.0,1.0,0.5,9.0,1.0,0.0,11.0,0.0,19.04,16.39,5116.45,0.1,63.0,0.06,284.25,312.11,0.5,1.0,2.0,9.0,0.09,27.0,36.0,14.0,17.0,23.0,38.89,11.0,0
9.0,2.0,0.0,9.0,16.0,5.0,0.17,8.0,5.0,1.0,19.0,5.0,1.0,29.0,1.0,44.67,20.61,18980.62,0.31,164.0,0.05,1054.48,920.81,1.0,4.0,8.0,16.0,0.11,71.0,93.0,31.0,18.0,46.0,23.68,29.0,1
27.0,12.0,0.0,10.0,44.0,14.0,0.27,18.0,11.0,0.79,57.0,9.0,0.62,51.0,0.0,68.42,21.88,32737.87,0.5,245.0,0.05,1818.77,1496.59,0.64,13.0,24.0,45.0,0.16,100.0,145.0,48.0,21.0,90.0,16.39,51.0,0
16.0,0.0,5.0,0.0,12.0,12.0,0.26,6.0,1.0,0.08,34.0,6.0,0.45,41.0,4.0,29.35,33.5,32937.0,0.33,178.0,0.03,1829.83,983.19,0.5,3.0,6.0,24.0,0.25,67.0,111.0,23.0,23.0,48.0,10.87,46.0,0
5.0,3.0,0.0,0.0,6.0,3.0,0.3,2.0,2.0,0.67,10.0,3.0,1.0,10.0,1.0,22.75,11.0,2752.77,0.08,51.0,0.09,152.93,250.25,1.0,2.0,3.0,9.0,0.25,22.0,29.0,15.0,15.0,12.0,0.0,10.0,0
11.0,1.0,1.0,27.0,20.0,6.0,0.14,10.0,3.0,0.5,22.0,1.0,0.0,43.0,1.0,47.47,22.17,23323.93,0.35,182.0,0.05,1295.77,1052.21,0.17,5.0,10.0,18.0,0.07,84.0,98.0,36.0,19.0,83.0,39.44,44.0,0
35.0,8.0,0.0,1.0,66.0,18.0,0.29,32.0,11.0,0.61,79.0,12.0,0.65,62.0,2.0,50.27,39.28,77553.76,0.66,319.0,0.03,4308.54,1974.55,0.67,17.0,33.0,63.0,0.16,142.0,177.0,47.0,26.0,113.0,1.59,62.0,0
13.0,1.0,0.0,1.0,24.0,7.0,0.41,12.0,3.0,0.43,25.0,1.0,0.0,17.0,3.0,12.97,39.75,20489.85,0.17,111.0,0.03,1138.33,515.47,0.14,6.0,12.0,20.0,0.35,53.0,58.0,10.0,15.0,20.0,5.56,17.0,0
7.0,0.0,0.0,0.0,12.0,4.0,0.4,6.0,1.0,0.25,15.0,1.0,0.0,10.0,0.0,6.88,24.38,4084.91,0.06,41.0,0.04,226.94,167.59,0.25,3.0,6.0,13.0,0.33,15.0,26.0,4.0,13.0,12.0,0.0,10.0,0
3.0,2.0,0.0,4.0,4.0,2.0,0.14,2.0,1.0,0.5,7.0,1.0,0.0,14.0,1.0,41.58,15.91,10529.3,0.22,129.0,0.06,584.96,661.68,0.5,1.0,2.0,7.0,0.08,61.0,68.0,23.0,12.0,24.0,22.22,14.0,0
17.0,1.0,0.0,0.0,30.0,9.0,0.56,14.0,2.0,0.22,31.0,9.0,1.0,16.0,0.0,10.13,32.58,10759.67,0.11,73.0,0.03,597.76,330.22,1.0,8.0,15.0,24.0,0.47,23.0,50.0,6.0,17.0,19.0,0.0,16.0,0
3.0,1.0,0.0,0.0,4.0,2.0,0.17,2.0,1.0,0.5,7.0,1.0,0.0,12.0,0.0,18.01,6.25,703.67,0.04,27.0,0.16,39.09,112.59,0.5,1.0,2.0,7.0,0.13,10.0,17.0,8.0,10.0,15.0,0.0,12.0,0
9.0,4.0,2.0,8.0,10.0,5.0,0.22,4.0,3.0,0.6,18.0,4.0,0.75,21.0,0.0,32.1,20.26,13174.23,0.22,113.0,0.05,731.9,650.3,0.8,3.0,5.0,15.0,0.07,47.0,66.0,29.0,25.0,74.0,32.25,23.0,1
3.0,1.0,0.0,1.0,4.0,2.0,0.29,2.0,2.0,1.0,5.0,1.0,0.0,7.0,0.0,17.79,5.63,562.94,0.03,24.0,0.18,31.27,100.08,0.5,1.0,2.0,5.0,0.18,9.0,15.0,8.0,10.0,11.0,12.5,7.0,0
